report_id,equipment,report_text,failure_type,severity,action_taken
355,Starter ST-205,"Inspection found voltage fluctuation on the starter st-205; sparking was observed while accelerating, and production stopped. Corrective work was completed: the terminal was tightened.",Electrical,Low,the terminal was tightened
173,Roller Assembly RA-273,"Inspection found excessive belt tension on the roller assembly ra-273; increased bearing temperature after a scheduled restart, and the component required immediate attention. Corrective work was completed: the coupling was changed.",Mechanical,High,the coupling was changed
274,Distribution Board DB-124,"A fault was detected on the distribution board db-124 because of poor cable termination. Voltage became unstable during startup, resulting in the motor tripped. Corrective work was completed: the voltage supply was stabilized.",Electrical,Low,the voltage supply was stabilized
219,Pump P-319,"Maintenance personnel reported strong vibration on the pump p-319 after a scheduled restart. Investigation identified a worn bearing, and the equipment was isolated. Corrective work was completed: mounting hardware was tightened.",Mechanical,High,mounting hardware was tightened
820,Steam Generator SG-170,"The steam generator sg-170 developed a fault linked to low coolant level. Surface temperature became excessive during peak production, so the equipment entered protection mode. Corrective work was completed: the cooling circuit was cleaned.",Thermal,High,the cooling circuit was cleaned
164,Mixer MX-264,"A fault was detected on the mixer mx-264 because of an unbalanced rotating assembly. Intermittent knocking after recent maintenance, resulting in throughput dropped. Corrective work was completed: the bearing was replaced.",Mechanical,Critical,the bearing was replaced
768,Steam Generator SG-118,"The steam generator sg-118 developed a fault linked to uneven heat distribution. Thermal reading fluctuated while operating at high pressure, so an automatic shutdown occurred. Corrective work was completed: the cooling circuit was cleaned.",Thermal,High,the cooling circuit was cleaned
652,Air Filter Unit AF-252,"A fault was detected on the air filter unit af-252 because of moisture accumulation. Pressure fluctuated during operation under continuous demand, resulting in the pneumatic system was isolated. Corrective work was completed: the air filter was changed.",Pneumatic,High,the air filter was changed
778,Steam Generator SG-128,"A fault was detected on the steam generator sg-128 because of uneven heat distribution. The chamber overheated while processing a high-temperature batch, resulting in production was interrupted. Corrective work was completed: the cooling circuit was cleaned.",Thermal,Low,the cooling circuit was cleaned
917,Cooling Unit CU-267,"Maintenance personnel reported the chamber overheated on the cooling unit cu-267 after a cooling-system restart. Investigation identified a blocked cooling passage, and the equipment was taken offline. Corrective work was completed: coolant was replenished.",Thermal,Medium,coolant was replenished
206,Rotary Feeder RF-306,"The rotary feeder rf-306 developed a fault linked to an unbalanced rotating assembly. Increased mechanical noise while running at high speed, so the machine tripped. Corrective work was completed: damaged gears were replaced.",Mechanical,Low,damaged gears were replaced
937,Oil Cooler OC-287,"Maintenance personnel reported surface temperature became excessive on the oil cooler oc-287 during extended operation. Investigation identified a blocked cooling passage, and an emergency alarm was triggered. Corrective work was completed: the pressure valve was inspected.",Thermal,Medium,the pressure valve was inspected
722,Pneumatic Actuator PA-322,"The pneumatic actuator pa-322 developed a fault linked to a loose pipe fitting. Airflow became restricted during automatic operation, so operator intervention was required. Corrective work was completed: the control valve was replaced.",Pneumatic,High,the control valve was replaced
93,Gearbox GB-193,"Inspection found a worn bearing on the gearbox gb-193; shaft oscillation under full load, and the machine tripped. Corrective work was completed: the bearing was replaced.",Mechanical,High,the bearing was replaced
862,Industrial Furnace F-212,"A fault was detected on the industrial furnace f-212 because of a blocked cooling passage. Pressure increased unexpectedly during startup heating, resulting in the process was paused. Corrective work was completed: the cooling passage was cleared.",Thermal,Low,the cooling passage was cleared
838,Process Heater PH-188,"A fault was detected on the process heater ph-188 because of a defective pressure valve. Steam temperature exceeded the target while operating at high pressure, resulting in the line operated at reduced capacity. Corrective work was completed: the temperature sensor was replaced.",Thermal,Medium,the temperature sensor was replaced
305,Drive Motor DM-155,"Maintenance personnel reported supply voltage dropped on the drive motor dm-155 during production changeover. Investigation identified an overloaded circuit, and production capacity was reduced. Corrective work was completed: the terminal was tightened.",Electrical,Critical,the terminal was tightened
550,Air Receiver AR-150,"The air receiver ar-150 developed a fault linked to a clogged air filter. System pressure fell below the target when multiple actuators operated together, so production efficiency decreased. Corrective work was completed: the control valve was replaced.",Pneumatic,Medium,the control valve was replaced
621,Air Manifold AM-221,"Inspection found a blocked air passage on the air manifold am-221; the valve responded slowly while the compressor was loaded, and production efficiency decreased. Corrective work was completed: the pipe fitting was tightened.",Pneumatic,Medium,the pipe fitting was tightened
628,Pneumatic Actuator PA-228,"A fault was detected on the pneumatic actuator pa-228 because of a loose pipe fitting. The cylinder failed to complete its stroke under continuous demand, resulting in the equipment was taken offline. Corrective work was completed: the moisture separator was serviced.",Pneumatic,Low,the moisture separator was serviced
304,Drive Motor DM-154,"The drive motor dm-154 developed a fault linked to a defective relay. Intermittent power loss occurred after the equipment was restarted, so the unit required electrical inspection. Corrective work was completed: the motor winding was inspected.",Electrical,High,the motor winding was inspected
579,Pneumatic Actuator PA-179,"Maintenance personnel reported airflow became restricted on the pneumatic actuator pa-179 at maximum air consumption. Investigation identified a cracked air line, and the unit entered a low-pressure condition. Corrective work was completed: the moisture separator was serviced.",Pneumatic,Critical,the moisture separator was serviced
549,Air Dryer AD-149,"Inspection found a blocked air passage on the air dryer ad-149; the compressor cycled frequently after a maintenance restart, and the production cycle was delayed. Corrective work was completed: the leaking hose was replaced.",Pneumatic,High,the leaking hose was replaced
308,Control Panel CP-158,"The control panel cp-158 developed a fault linked to a failed contactor. Sparking was observed after a power fluctuation, so the line lost power. Corrective work was completed: the overload was corrected.",Electrical,Critical,the overload was corrected
648,Air Dryer AD-248,"A fault was detected on the air dryer ad-248 because of a blocked air passage. The cylinder failed to complete its stroke at maximum air consumption, resulting in cycle time increased. Corrective work was completed: the control valve was replaced.",Pneumatic,Medium,the control valve was replaced
479,Distribution Board DB-329,"Inspection found a short circuit on the distribution board db-329; the equipment shut down unexpectedly during startup, and production stopped. Corrective work was completed: the relay was replaced.",Electrical,Medium,the relay was replaced
790,Cooling Unit CU-140,"A fault was detected on the cooling unit cu-140 because of excessive fuel input. The unit could not maintain the set temperature after a long operating cycle, resulting in the unit was isolated for inspection. Corrective work was completed: thermal insulation was repaired.",Thermal,High,thermal insulation was repaired
481,Drive Motor DM-331,"Maintenance personnel reported the drive reported an overload on the drive motor dm-331 at peak operating speed. Investigation identified voltage fluctuation, and the equipment remained unavailable. Corrective work was completed: the voltage supply was stabilized.",Electrical,Critical,the voltage supply was stabilized
151,Gearbox GB-251,"Maintenance personnel reported unstable rotational speed on the gearbox gb-251 under variable load. Investigation identified shaft misalignment, and maintenance was requested. Corrective work was completed: the rotating assembly was balanced.",Mechanical,Low,the rotating assembly was balanced
113,Roller Assembly RA-213,"Inspection found shaft misalignment on the roller assembly ra-213; strong vibration during peak production, and the unit was taken offline. Corrective work was completed: the shaft was realigned.",Mechanical,High,the shaft was realigned
212,Pump P-312,"A fault was detected on the pump p-312 because of gear tooth wear. Strong vibration during inspection, resulting in the component required immediate attention. Corrective work was completed: damaged gears were replaced.",Mechanical,Critical,damaged gears were replaced
421,Motor M-271,"Maintenance personnel reported sparking was observed on the motor m-271 during production changeover. Investigation identified an overheated electrical connection, and an emergency stop was initiated. Corrective work was completed: the cable termination was corrected.",Electrical,High,the cable termination was corrected
419,Drive Motor DM-269,"Inspection found a failed contactor on the drive motor dm-269; the drive reported an overload under maximum load, and the line lost power. Corrective work was completed: insulation was repaired.",Electrical,Medium,insulation was repaired
668,Pneumatic Cylinder PC-268,"A fault was detected on the pneumatic cylinder pc-268 because of a damaged pneumatic seal. System pressure fell below the target after a maintenance restart, resulting in the actuator stopped. Corrective work was completed: the pneumatic seal was renewed.",Pneumatic,Critical,the pneumatic seal was renewed
608,Air Dryer AD-208,"A fault was detected on the air dryer ad-208 because of a damaged pneumatic seal. Pressure could not be maintained after filter replacement, resulting in operator intervention was required. Corrective work was completed: the pneumatic seal was renewed.",Pneumatic,Medium,the pneumatic seal was renewed
872,Hot-Air Oven O-222,"The hot-air oven o-222 developed a fault linked to a defective pressure valve. Heat transfer efficiency dropped under maximum thermal load, so the equipment entered protection mode. Corrective work was completed: thermal insulation was repaired.",Thermal,Medium,thermal insulation was repaired
416,Power Supply PS-266,"The power supply ps-266 developed a fault linked to voltage fluctuation. Voltage became unstable during routine testing, so the unit required electrical inspection. Corrective work was completed: the motor winding was inspected.",Electrical,Low,the motor winding was inspected
495,Electrical Cabinet EC-345,"Inspection found an overheated electrical connection on the electrical cabinet ec-345; current exceeded its normal range after the equipment was restarted, and the machine could not continue operation. Corrective work was completed: the overload was corrected.",Electrical,Low,the overload was corrected
475,Motor M-325,"Inspection found voltage fluctuation on the motor m-325; current exceeded its normal range after an overnight shutdown, and an emergency stop was initiated. Corrective work was completed: the motor winding was inspected.",Electrical,Low,the motor winding was inspected
118,Conveyor CV-218,"The conveyor cv-218 developed a fault linked to excessive belt tension. Intermittent knocking under variable load, so operator intervention was required. Corrective work was completed: the rollers were replaced.",Mechanical,High,the rollers were replaced
127,Gearbox GB-227,"Maintenance personnel reported increased mechanical noise on the gearbox gb-227 under variable load. Investigation identified excessive belt tension, and the unit was taken offline. Corrective work was completed: mounting hardware was tightened.",Mechanical,Low,mounting hardware was tightened
618,Air Dryer AD-218,"The air dryer ad-218 developed a fault linked to a cracked air line. Airflow became restricted during automatic operation, so the pneumatic system was isolated. Corrective work was completed: the pneumatic seal was renewed.",Pneumatic,Critical,the pneumatic seal was renewed
